insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838339879',-54.973129,-70.271559,150,'Volcán Fueguino o Cook',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3003365844',-37.927282,-71.447321,3164,'Volcán Callaqui',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4365582505',-37.907417,-71.402206,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2447968541',-37.465965,-71.415210,3585,'Sierra Velluda',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('380564858',-37.410688,-71.351294,2979,'Volcán Antuco',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1933851506',-37.858810,-71.182701,2953,'Volcán Copahue',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2105151502',-37.738350,-68.923824,2258,'Cerro Auca Mahuida',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3994067157',-59.438915,-27.370388,0,'Mount Larsen',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3994067158',-59.411491,-27.078933,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1826741216',-59.013312,-26.538284,1098,'Mount Darnley',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1826741173',-58.455061,-26.370893,1372,'Mount Belinda',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2282636426',-36.875140,-71.433386,0,'Cráter Renegado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1202590913',-36.828654,-71.409690,3212,'Nevado de Chillán',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1202591707',-36.874838,-71.371058,3122,'Volcán Chillán Viejo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('304831490',-36.867512,-71.378734,3186,'Volcán Chillán Nuevo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4576551987',-36.460558,-70.903453,1890,'Volcán Resago',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3653058637',-36.196928,-71.163619,3242,'Nevado de Longaví',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4580480249',-35.993384,-70.851544,3621,'Volcán San Pedro',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4580480250',-35.970759,-70.788005,3120,'Volcán Pellado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3620869499',-35.729221,-70.809694,2000,'Volcán Los Hornitos',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4580401437',-35.671412,-70.844322,2397,'Cráter Los Quillayes',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4580401436',-35.638425,-70.846824,2463,'Cráter La Resolana',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3424298879',-35.656725,-70.763107,3788,'Cerro azul',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3424298308',-35.637050,-70.756951,3292,'Volcán Quizapú',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3424291860',-35.586132,-70.751179,3953,'Volcán Descabezado Grande',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4576466884',-35.468504,-70.801568,2048,'Volcán Mondaca',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4580429827',-35.558485,-70.511490,3508,'Volcán Calabozos',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3654945295',-35.529491,-70.670908,2928,'Cerro Colorado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4580429828',-35.518775,-70.599850,3092,'Cráter de las Escorias',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3654938747',-35.515499,-70.618550,3250,'Volcán Descabezado Chico',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('525705273',-35.273603,-70.581948,4135,'Volcán Azufre',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('687515203',-35.224367,-70.567256,3885,'Volcán El Planchón Peteroa',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2666304037',-37.140796,-70.049575,4114,'Volcán Tromen',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('474973520',-36.636599,-70.431267,4702,'Volcán Domuyo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4458215680',-36.738497,-69.834723,0,'Volcán de Cochiquito',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1243428531',-36.510769,-69.286010,0,'Payún Liso',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('498471495',-35.923763,-70.366686,4049,'Cerro Campanario',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4458215678',-36.421663,-69.241341,3715,'Volcán Payun Matru',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1270059282',-36.415193,-69.208485,0,'Payún Matrú',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4458215679',-36.301317,-69.320810,1992,'Volcán Santa María',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1243428853',-35.774292,-69.477148,1876,'Cerro Malacara',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1243427972',-35.830643,-69.147685,0,'Carapacho',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1243428450',-35.612727,-69.201056,1508,'Cerro Trapal',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('493642785',-34.610804,-70.297354,4850,'Volcán Palomo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3972327093',-34.554843,-70.001673,4619,'Volcán Overo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('469832854',-34.164207,-69.834405,5323,'Volcán Maipo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('307344353',-33.788931,-69.895643,5856,'Volcán San José',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4506870493',-33.785406,-69.900698,5770,'Volcán San José',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('307344365',-33.768844,-69.902837,6070,'Volcán San José',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('480539389',-33.424261,-69.796520,5913,'Volcán Tupungatito',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3662404536',-33.358390,-69.770345,6570,'Volcán Tupungato',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4033324988',-27.299411,-68.527959,6328,'Nacimiento IV',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4033329989',-27.271263,-68.524697,6299,'Nacimiento V',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4033324987',-27.288504,-68.510621,6389,'Nacimiento III',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1513392023',-27.281006,-68.524208,6436,'Cerro del Nacimiento I',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4033324986',-27.280113,-68.513110,6446,'Nacimiento II',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1272284656',-27.044738,-68.818348,6030,'Tres Cruces Norte',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96186036',-27.098868,-68.778190,6749,'Nevado Tres Cruces',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1272284666',-27.068454,-68.785240,6629,'Tres Cruces Central',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4130336299',-27.200577,-68.556065,6660,'Walther Penck',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1272284662',-27.190849,-68.473507,6028,'Del Viento',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96183752',-27.109427,-68.540859,6891,'Nevado Ojos del Salado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1272284608',-27.098507,-68.381066,5373,'Volcán Negro',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1273007153',-27.150052,-68.322968,4861,'Volcán Rojo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96186394',-27.033590,-68.295992,6638,'Volcán Incahuasi',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96184086',-26.919173,-68.263210,6016,'Nevado San Francisco',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1273037424',-26.514975,-68.602579,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3766852739',-26.507850,-68.553744,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1273037435',-26.504202,-68.560724,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3766853364',-26.491585,-68.561188,6152,'Cumbre del Laudo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3445772312',-26.622429,-68.115974,5830,'Volcán Peinado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2917495038',-26.479946,-68.147659,4330,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1273860880',-26.482790,-68.057340,4370,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4086462671',-26.419460,-68.026578,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2456806378',-26.782252,-67.757594,4670,'Cerro Blanco',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4088017747',-26.003700,-67.799222,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556745435',-26.306043,-67.350000,3410,'El Jote 4',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556747218',-26.325046,-67.328971,3685,'El Jote',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556755093',-26.298593,-67.413201,3275,'Volcán Cachamani',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556747233',-26.289191,-67.350257,0,'El Jote 6',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556747574',-26.294655,-67.332662,3365,'El Jote 5',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556749651',-26.297425,-67.323049,3420,'El Jote 7',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3556753301',-26.324511,-67.302874,3515,'El Jote 2',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('655345060',-26.147936,-67.384953,3598,'Alumbrera',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('655345071',-26.128703,-67.411173,3540,'Antofagasta de la Sierra',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4088016264',-25.959590,-67.744424,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4088016150',-25.943099,-67.743933,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('506448386',-25.374663,-68.883094,5480,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2680411336',-25.168007,-68.506584,5680,'Volcán Lastarria',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3445772293',-25.214096,-68.304266,5510,'Volcan Pedernal',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1513552176',-25.562432,-67.881032,6440,'Volcán Antofalla',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('365136307',-24.720324,-68.537121,6739,'Volcán Llullaillaco',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('365136344',-24.396262,-68.247722,6051,'Volcán Socompa',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3062218115',-24.191906,-68.055983,6233,'Cerro Púlar',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3062218117',-24.288008,-67.792061,6095,'Aracar',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2727543552',-25.996723,-66.905238,0,'Galan',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2245229845',-24.056143,-66.478427,5500,'Cerro Tuzgle',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2775947599',-24.026042,-65.620780,4510,'Cerro Potrerillos',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3445765575',-23.816468,-67.757494,5910,'Cerro Miñiques',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4556378203',-23.742887,-67.541124,5852,'Volcán Puntas Negras',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1474029229',-23.673810,-67.716056,5622,'Cerro Miscanti',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1005286146',-23.367211,-67.737334,5592,'Lascar',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1005539019',-23.364012,-67.681888,5924,'Aguas Calientes',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1005539035',-23.292398,-67.618114,6046,'Acamarachi (Pili)',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3445765569',-23.237662,-67.751233,5005,'Volcán Hecar',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3445765570',-23.254872,-67.711630,5430,'Volcán Laguna Verde',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2452851750',-22.846429,-67.824335,5704,'Cerro Juriques',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96305003',-22.833686,-67.882367,5920,'Volcán Licancabur',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96304718',-22.719023,-67.890315,5971,'Cerro Sairecábur',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('353189950',-22.703507,-67.886065,5700,'Saciel',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96183119',-22.813797,-67.180790,5580,'Cerro Zapaleri',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4556308916',-22.626594,-67.880331,5760,'Volcán Ojos del Toro',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3060360711',-22.613439,-67.883364,5770,'Volcán Escalante',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('535314679',-22.557295,-67.853086,5890,'Volcán Putana o Jorjencal',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1263568343',-22.436443,-67.890293,5808,'Cerro Tocorpuri',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607720',-22.259455,-67.415172,0,'Cerro Loromita',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('353193596',-22.264277,-67.187029,6008,'Cráter del Volcan Uturuncu',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3062141660',-21.888081,-68.391418,6120,'Volcán San Pedro',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4084234626',-22.148769,-67.967267,5606,'Volcán Línzor',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1263568764',-21.884352,-68.342091,6092,'Volcán San Pablo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96305270',-21.978717,-68.071612,5628,'Cerro Inacaliri o del Cajón',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96304728',-21.604440,-68.180480,5688,'Cerro Araral',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96305028',-21.678399,-68.117723,5470,'Cerro Ascotán',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607718',-22.123266,-67.541865,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1263568645',-21.221097,-68.468294,6174,'Volcán Aucanquilcha',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96305350',-21.302424,-68.179023,5868,'Volcán Ollagüe',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1263568662',-20.946848,-68.486381,5407,'Volcán Olca',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1495367303',-20.731446,-68.552561,5163,'Volcán Irruputuncu',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607694',-20.822129,-68.273379,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607696',-20.849178,-68.198664,0,'Cerro Uquilla',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607691',-20.703811,-68.104060,0,'Cerro Julina',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607687',-20.636059,-68.108958,0,'Cerro Caltama',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607702',-21.266661,-67.848741,0,'Cerro Sedilla',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607699',-21.188333,-67.798808,0,'Cerro Chass',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607700',-21.217630,-67.607371,0,'Cerro Khala Katin',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1603607698',-21.104182,-67.864528,0,'Cerro Chajra Orkho',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1607414711',-20.817957,-67.780120,0,'Cerro Caral',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('493041600',-19.495836,-69.102770,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('339577599',-19.567110,-68.995610,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('493043079',-19.349810,-69.133326,0,'Volcan Isluga',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2356665117',-19.155220,-68.827638,5530,'Volcán Isluga',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('452866158',-20.514072,-68.665342,5140,'Cerro Napa',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96306220',-19.752439,-68.696963,5995,'Cerro Alto Toroni',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1607520165',-19.831807,-68.201519,0,'Cerro Pitalaca',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('276605843',-19.832576,-67.644597,5432,'Tunupa',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('621766612',-19.327810,-68.311775,4910,'Cerro Villa Pucarani',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('353185492',-18.420508,-69.090596,6071,'Guallatiri',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96306766',-18.415921,-69.045750,5990,'Volcán Capurata',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96307640',-18.382817,-69.047997,6052,'Cerro Acotango',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2025279222',-18.238785,-69.064397,0,'Volcán Quisiquisini',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('353184772',-18.162826,-69.145763,6348,'Volcán Parinacota',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('353183650',-18.128143,-69.129171,6282,'Volcán Pomerape',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('313766810',-18.108602,-68.883531,6542,'Nevado Sajama',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('503606785',-17.720367,-69.772728,5988,'Volcán Tacora',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('503606790',-17.675558,-69.805515,5784,'Nevado Chupiquiña',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615878',-17.182222,-70.198056,0,'Volcán Yucamani (Ver Yunamane)',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615859',-15.550833,-72.595278,7244,'Volcán Coropuna',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615863',-15.534175,-72.311246,0,'Volcán Jechapita',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615864',-15.520278,-72.345556,0,'Volcán Jenchaña',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615858',-15.523611,-72.313333,0,'Volcán Chilcayoc',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615857',-15.535833,-72.287778,0,'Volcán Chilcayoc Grande',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615874',-16.767500,-70.599722,0,'Volcán Ticsani',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('253904997',-16.447465,-71.240273,5664,'Pichu Pichu',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615876',-16.342222,-70.896944,5672,'Volcán Ubinas',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615862',-16.615833,-70.850000,0,'Volcán Huaynaputina (Ver Nevado Huaynaputina)',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('253904849',-16.194447,-71.540782,6025,'Chachani',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615867',-16.299179,-71.405777,5822,'El Misti',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615853',-15.821111,-71.879444,0,'Volcán Ampato (Huayapuna)',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615872',-15.786944,-71.855833,0,'Volcán Sabancaya',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615861',-15.726209,-71.871207,6025,'Volcán Hualca Hualca',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1440200764',-15.595175,-71.999573,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('467481063',-15.516965,-71.678385,5597,'Nevado Mismi',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4275668643',-15.323580,-73.450299,0,'Sara Sara',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1728615854',-15.072778,-73.190278,0,'Volcán Auquihuato (Ver Cerro Auquihuato)',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3148370350',-15.014193,-73.144079,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3148370314',-15.005894,-73.121365,0,'volcano',3);
